variant,query_set,rpr,mean_leakage,amplification_factor,af_epsilon,delta_leakage,severity_weighted_leakage,mean_pivot_depth,pd_min,pd_median,pd_max,queries_with_leakage,total_queries,p50_latency_ms,p95_latency_ms,mean_context_size,rpr_ci_low,rpr_ci_high
P1,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,12.6,19.9,10.0,0.0000,0.0000
P3,benign,0.9543,15.99,inf,159.86,15.99,22.92,2.00,2.0,2.0,2.0,334,350,26.7,38.1,110.0,0.9314,0.9743
P4,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,26.5,34.4,56.0,0.0000,0.0000
P5,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,26.0,33.6,57.2,0.0000,0.0000
P6,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,23.1,29.8,28.7,0.0000,0.0000
P7,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,24.3,37.3,28.1,0.0000,0.0000
P8,benign,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,350,22.7,28.6,19.5,0.0000,0.0000
P1,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,12.3,34.6,10.0,0.0000,0.0000
P3,adversarial,0.9467,19.38,inf,193.80,19.38,26.36,2.00,2.0,2.0,2.0,142,150,27.3,40.2,110.0,0.9067,0.9800
P4,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,26.3,32.2,50.0,0.0000,0.0000
P5,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,25.5,38.3,51.0,0.0000,0.0000
P6,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,23.1,33.7,28.4,0.0000,0.0000
P7,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,23.2,28.7,24.1,0.0000,0.0000
P8,adversarial,0.0000,0.00,1.00,0.00,0.00,0.00,-1.00,inf,inf,inf,0,150,22.9,30.1,20.1,0.0000,0.0000
